dataset,task,n_estimators,train_accuracy,test_accuracy,train_error,test_error,train_macro_f1,test_macro_f1
wdbc,binary_classification,1,0.9296703296703297,0.8771929824561403,0.0703296703296703,0.1228070175438597,0.9237281032604141,0.85995085995086
wdbc,binary_classification,5,0.9582417582417583,0.9473684210526315,0.04175824175824172,0.052631578947368474,0.9555483569089012,0.9422297297297297
wdbc,binary_classification,10,0.9758241758241758,0.9385964912280702,0.0241758241758242,0.06140350877192979,0.9739514210918023,0.9313666465984347
wdbc,binary_classification,15,0.9824175824175824,0.956140350877193,0.01758241758241763,0.04385964912280704,0.9811265969802555,0.951575906889814
wdbc,binary_classification,20,0.9956043956043956,0.9473684210526315,0.00439560439560438,0.052631578947368474,0.9952931683700914,0.9415384615384615
wdbc,binary_classification,25,0.9978021978021978,0.9473684210526315,0.00219780219780219,0.052631578947368474,0.9976494170037558,0.9422297297297297
wdbc,binary_classification,30,0.9978021978021978,0.9824561403508771,0.00219780219780219,0.01754385964912286,0.9976494170037558,0.9809555629802873
wdbc,binary_classification,35,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,40,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
wdbc,binary_classification,45,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
wdbc,binary_classification,50,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
wdbc,binary_classification,55,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
wdbc,binary_classification,60,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
wdbc,binary_classification,65,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
wdbc,binary_classification,70,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,75,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,80,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,85,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,90,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,95,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,100,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,105,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,110,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,115,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,120,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,125,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,130,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,135,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,140,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,145,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,150,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,155,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,160,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,165,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,170,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,175,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,180,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,185,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,190,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,195,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
wdbc,binary_classification,200,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
adult,binary_classification,1,0.7485,0.748,0.25149999999999995,0.252,0.42808121246782954,0.4279176201372998
adult,binary_classification,5,0.82325,0.839,0.17674999999999996,0.16100000000000003,0.7249861642172963,0.7561016253327092
adult,binary_classification,10,0.827,0.847,0.17300000000000004,0.15300000000000002,0.7509873244631564,0.7823535687613357
adult,binary_classification,15,0.82725,0.851,0.17274999999999996,0.14900000000000002,0.751445979202575,0.7893454014383892
adult,binary_classification,20,0.82875,0.853,0.17125,0.14700000000000002,0.7545770264928726,0.7928057067228205
adult,binary_classification,25,0.835,0.858,0.16500000000000004,0.14200000000000002,0.7535014005602241,0.7944602700386763
adult,binary_classification,30,0.8385,0.868,0.16149999999999998,0.132,0.7656682173916987,0.8153443268741152
adult,binary_classification,35,0.83725,0.863,0.16274999999999995,0.137,0.7588227661306031,0.8045066218030767
adult,binary_classification,40,0.8395,0.864,0.16049999999999998,0.136,0.762657876874892,0.8050179211469535
adult,binary_classification,45,0.84725,0.865,0.15275000000000005,0.135,0.7770067906176794,0.810294942182114
adult,binary_classification,50,0.84725,0.865,0.15275000000000005,0.135,0.7773712850313435,0.810294942182114
adult,binary_classification,55,0.84725,0.866,0.15275000000000005,0.134,0.7773712850313435,0.8119836566091954
adult,binary_classification,60,0.84725,0.866,0.15275000000000005,0.134,0.7775528428045853,0.8119836566091954
adult,binary_classification,65,0.8485,0.868,0.15149999999999997,0.132,0.7831373935548147,0.8169757742479369
adult,binary_classification,70,0.849,0.866,0.15100000000000002,0.134,0.7817840239893059,0.8131039253754658
adult,binary_classification,75,0.84925,0.869,0.15075000000000005,0.131,0.7827541958297992,0.8180957260827122
adult,binary_classification,80,0.84825,0.869,0.15175000000000005,0.131,0.7818342117920765,0.8180957260827122
adult,binary_classification,85,0.851,0.86,0.14900000000000002,0.14,0.7845013828430558,0.804153073957395
adult,binary_classification,90,0.853,0.865,0.14700000000000002,0.135,0.7894132903851051,0.8125413971081386
adult,binary_classification,95,0.8525,0.865,0.14749999999999996,0.135,0.7888631389395061,0.8125413971081386
adult,binary_classification,100,0.8525,0.865,0.14749999999999996,0.135,0.7888631389395061,0.8125413971081386
adult,binary_classification,105,0.85325,0.865,0.14675000000000005,0.135,0.7896886343814835,0.8125413971081386
adult,binary_classification,110,0.85325,0.865,0.14675000000000005,0.135,0.7896886343814835,0.8125413971081386
adult,binary_classification,115,0.8525,0.865,0.14749999999999996,0.135,0.7888631389395061,0.8125413971081386
adult,binary_classification,120,0.85325,0.865,0.14675000000000005,0.135,0.7896886343814835,0.8125413971081386
adult,binary_classification,125,0.852,0.861,0.14800000000000002,0.139,0.7861194407312403,0.8058417875965029
adult,binary_classification,130,0.853,0.866,0.14700000000000002,0.134,0.7894132903851051,0.8136559588374357
adult,binary_classification,135,0.853,0.866,0.14700000000000002,0.134,0.7894132903851051,0.8136559588374357
adult,binary_classification,140,0.85225,0.862,0.14775000000000005,0.138,0.7863950450156179,0.8069508871865749
adult,binary_classification,145,0.8525,0.866,0.14749999999999996,0.134,0.7893590624693188,0.8136559588374357
adult,binary_classification,150,0.85125,0.866,0.14875000000000005,0.134,0.7873243717065995,0.8136559588374357
adult,binary_classification,155,0.8515,0.866,0.14849999999999997,0.134,0.7875985440845659,0.8136559588374357
adult,binary_classification,160,0.8515,0.866,0.14849999999999997,0.134,0.7877649722165054,0.8136559588374357
adult,binary_classification,165,0.8515,0.866,0.14849999999999997,0.134,0.7875985440845659,0.8136559588374357
adult,binary_classification,170,0.85125,0.866,0.14875000000000005,0.134,0.7873243717065995,0.8136559588374357
adult,binary_classification,175,0.8515,0.866,0.14849999999999997,0.134,0.7875985440845659,0.8136559588374357
adult,binary_classification,180,0.85075,0.865,0.14925,0.135,0.7855983695420397,0.8119879282323105
adult,binary_classification,185,0.8515,0.866,0.14849999999999997,0.134,0.7877649722165054,0.8136559588374357
adult,binary_classification,190,0.8515,0.866,0.14849999999999997,0.134,0.7875985440845659,0.8136559588374357
adult,binary_classification,195,0.85125,0.864,0.14875000000000005,0.136,0.7874908734919777,0.8114295855887834
adult,binary_classification,200,0.8515,0.866,0.14849999999999997,0.134,0.7887549343860023,0.8147441533807809
covertype,multiclass_classification,1,0.638,0.638,0.362,0.362,0.19599142372396075,0.19614621058406792
covertype,multiclass_classification,5,0.6295,0.628,0.37050000000000005,0.372,0.19345957268337352,0.19315141787051898
