dataset,task,model,role,status,n_samples,n_features,train_size,test_size,training_time_seconds,split,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,log_loss,brier_score,expected_calibration_error
wdbc,binary,AdaBoost (ours),project_implementation,ok,569,30,455,114,0.3849532999447547,train,1.0,1.0,1.0,1.0,1.0,1.0174213191942588e-05,1.0296863963454622e-08,1.0171637444988946e-05
wdbc,binary,AdaBoost (ours),project_implementation,ok,569,30,455,114,0.3849532999447547,test,0.9736842105263158,0.98,0.9642857142857143,0.9712773998488284,0.9854497354497355,0.32822510463577315,0.047462919784286385,0.022840056300019083
wdbc,binary,"Gradient Boosting (ours, bonus)",project_bonus,ok,569,30,455,114,0.9671180000295863,train,0.989010989010989,0.9913793103448276,0.9852941176470589,0.9881894873458792,0.9991124871001033,0.13397025548823008,0.038952870320930894,0.11248941976652374
wdbc,binary,"Gradient Boosting (ours, bonus)",project_bonus,ok,569,30,455,114,0.9671180000295863,test,0.956140350877193,0.9675324675324675,0.9404761904761905,0.951575906889814,0.9933862433862434,0.19923787525833103,0.09040171571599415,0.09502874462774408
wdbc,binary,Gradient Boosting (sklearn reference only),reference_only,ok,569,30,455,114,0.29970019997563213,train,1.0,1.0,1.0,1.0,1.0,0.002221346393782089,5.5197955555443155e-05,0.0022072932286418823
wdbc,binary,Gradient Boosting (sklearn reference only),reference_only,ok,569,30,455,114,0.29970019997563213,test,0.9649122807017544,0.9736842105263157,0.9523809523809523,0.9614864864864865,0.9943783068783069,0.12797015150131633,0.06637144571087103,0.03440887737237238
adult,binary,AdaBoost (ours),project_implementation,ok,5000,14,4000,1000,0.40613369998754933,train,0.84975,0.8156637225348566,0.7513090529752958,0.7748589567222535,0.9129080664750052,0.3068158032158348,0.19987897950523995,0.018017555573637586
adult,binary,AdaBoost (ours),project_implementation,ok,5000,14,4000,1000,0.40613369998754933,test,0.85,0.8195989214694979,0.7467473328129066,0.7723630536130537,0.906981850117096,0.31531155765339897,0.20343218632249285,0.008779756088278958
adult,binary,"Gradient Boosting (ours, bonus)",project_bonus,ok,5000,14,4000,1000,1.3626636000117287,train,0.85175,0.8270103124507864,0.7446656831910657,0.7724848424740489,0.9095452435456451,0.3570716701607023,0.21596126938619928,0.07862663510953778
adult,binary,"Gradient Boosting (ours, bonus)",project_bonus,ok,5000,14,4000,1000,1.3626636000117287,test,0.853,0.8306726477120303,0.7445680457975541,0.7732709597116378,0.8950391404284846,0.3685735230035771,0.2247721461038475,0.07935536187377436
adult,binary,Gradient Boosting (sklearn reference only),reference_only,ok,5000,14,4000,1000,0.4474627000163309,train,0.88125,0.8596028553532267,0.8040155125951804,0.8263571400436063,0.9427471947413738,0.263057897945468,0.1631935343198141,0.02534403341558504
adult,binary,Gradient Boosting (sklearn reference only),reference_only,ok,5000,14,4000,1000,0.4474627000163309,test,0.855,0.8277673323035416,0.7542176251192645,0.7803399731257319,0.9132649189001648,0.30908590805294456,0.1968298252403428,0.014496264149013227
