dataset,dataset_description,minority_fraction,imbalance_treatment,model,noise_fraction,accuracy,f1_macro,auc_roc,minority_recall,oob_accuracy_on_noisy_train,status
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_random_forest,0.0,0.958041958041958,0.9546703296703296,0.9944444444444444,0.9245283018867925,0.9577464788732394,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_adaboost,0.0,0.965034965034965,0.9620669531540135,0.9907756813417191,0.9245283018867925,,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_random_forest,0.05,0.951048951048951,0.9468937344156189,0.9945492662473795,0.9056603773584906,0.9084507042253521,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_adaboost,0.05,0.9300699300699301,0.9238064791133844,0.9863731656184487,0.8679245283018868,,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_random_forest,0.1,0.9300699300699301,0.9238064791133844,0.9886792452830189,0.8679245283018868,0.8661971830985915,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_adaboost,0.1,0.916083916083916,0.9077419354838709,0.980398322851153,0.8301886792452831,,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_random_forest,0.2,0.9440559440559441,0.9400419287211741,0.9716981132075472,0.9245283018867925,0.7723004694835681,ok
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,team_adaboost,0.2,0.8741258741258742,0.8661048689138577,0.9584905660377359,0.8490566037735849,,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_random_forest,0.0,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9812734082397003,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_adaboost,0.0,0.9666666666666667,0.9666625509322139,0.9965415019762847,1.0,,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_random_forest,0.05,0.9777777777777777,0.9777777777777777,1.0,1.0,0.9438202247191011,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_adaboost,0.05,0.9666666666666667,0.9666625509322139,0.9906126482213439,1.0,,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_random_forest,0.1,0.9777777777777777,0.9777777777777777,0.9980237154150198,1.0,0.8726591760299626,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_adaboost,0.1,0.9333333333333333,0.933300395256917,0.9757905138339921,0.9772727272727273,,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_random_forest,0.2,0.9222222222222223,0.9217488510744007,0.9886363636363636,0.8636363636363636,0.7565543071161048,ok
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,team_adaboost,0.2,0.7888888888888889,0.7882352941176471,0.8878458498023716,0.75,,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_random_forest,0.0,0.9924,0.7413290784235778,0.9935691318327974,0.75,0.9954454119223041,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_adaboost,0.0,0.9912,0.7227822580645161,0.9912915326902465,0.75,,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_random_forest,0.05,0.7024,0.4265001338166355,0.9213893354769561,0.9166666666666666,0.6992528897659994,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_adaboost,0.05,0.6652,0.4128259026696849,0.9772072615219721,1.0,,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_random_forest,0.1,0.9372,0.5351591413767579,0.8902398177920686,0.75,0.5900163666121113,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_adaboost,0.1,0.9676,0.5826454712396357,0.8713826366559486,0.75,,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_random_forest,0.2,0.7072,0.4283900840984993,0.8830385852090032,0.9166666666666666,0.5921338912133891,ok
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,label_noise_then_random_oversampling_train_only,team_adaboost,0.2,0.6468,0.40536333983505335,0.9146737674169347,1.0,,ok
